partnerId,locationId,listingId,link id,override,PL Status
483,9049820,111751847,9049820-111751847,Antimatch,NoPowerListing
483,9049577,111751849,9049577-111751849,Antimatch,NoPowerListing
433,9049651,111755642,9049651-111755642,Antimatch,NoPowerListing
433,9049985,111755729,9049985-111755729,Antimatch,NoPowerListing
433,8865542,111755729,8865542-111755729,Antimatch,NoPowerListing
433,9049939,111755774,9049939-111755774,Antimatch,NoPowerListing
433,9049979,111756314,9049979-111756314,Antimatch,NoPowerListing
433,9049536,111756740,9049536-111756740,Antimatch,NoPowerListing
433,9049536,111756741,9049536-111756741,Antimatch,NoPowerListing
433,9049536,111756742,9049536-111756742,Antimatch,NoPowerListing
433,9050107,111756860,9050107-111756860,Antimatch,NoPowerListing
433,9050107,111756863,9050107-111756863,Antimatch,NoPowerListing
505,9049798,111758269,9049798-111758269,Antimatch,NoPowerListing
420,9049985,111769192,9049985-111769192,Antimatch,NoPowerListing
420,9049858,111769318,9049858-111769318,Antimatch,NoPowerListing
420,9049530,111769943,9049530-111769943,Antimatch,NoPowerListing
420,9050072,111770388,9050072-111770388,Antimatch,NoPowerListing
420,9050141,111771793,9050141-111771793,Antimatch,NoPowerListing
402,9049664,111773702,9049664-111773702,Antimatch,NoPowerListing
402,9049820,111773748,9049820-111773748,Antimatch,NoPowerListing
402,9049577,111773749,9049577-111773749,Antimatch,NoPowerListing
402,8865542,111773757,8865542-111773757,Antimatch,NoPowerListing
402,9049858,111773916,9049858-111773916,Antimatch,NoPowerListing
433,9049524,111773941,9049524-111773941,Antimatch,NoPowerListing
402,9050007,111775062,9050007-111775062,Antimatch,NoPowerListing
402,9049536,111775293,9049536-111775293,Antimatch,NoPowerListing
402,9050209,111775544,9050209-111775544,Antimatch,NoPowerListing
402,9049586,111775942,9049586-111775942,Antimatch,NoPowerListing
402,9050141,111776931,9050141-111776931,Antimatch,NoPowerListing
532,9049967,111806989,9049967-111806989,Antimatch,NoPowerListing
420,9049896,111946146,9049896-111946146,Antimatch,NoPowerListing
553,8865485,111946156,8865485-111946156,Antimatch,NoPowerListing
553,8865669,111946183,8865669-111946183,Antimatch,NoPowerListing
553,8865669,111946184,8865669-111946184,Antimatch,NoPowerListing
395,8865407,111946189,8865407-111946189,Antimatch,NoPowerListing
553,8865662,111946220,8865662-111946220,Antimatch,NoPowerListing
553,8865662,111946221,8865662-111946221,Antimatch,NoPowerListing
553,8865681,111946248,8865681-111946248,Antimatch,NoPowerListing
553,8865674,111946263,8865674-111946263,Antimatch,NoPowerListing
553,8865567,111946349,8865567-111946349,Antimatch,NoPowerListing
553,8865546,111946356,8865546-111946356,Antimatch,NoPowerListing
553,8865635,111946366,8865635-111946366,Antimatch,NoPowerListing
553,8865635,111946367,8865635-111946367,Antimatch,NoPowerListing
553,8865635,111946368,8865635-111946368,Antimatch,NoPowerListing
433,8865484,111946372,8865484-111946372,Antimatch,NoPowerListing
553,8865555,111946379,8865555-111946379,Antimatch,NoPowerListing
553,8865555,111946381,8865555-111946381,Antimatch,NoPowerListing
553,8865668,111946399,8865668-111946399,Antimatch,NoPowerListing
553,8865598,111946407,8865598-111946407,Antimatch,NoPowerListing
553,8865633,111946442,8865633-111946442,Antimatch,NoPowerListing
553,8865633,111946443,8865633-111946443,Antimatch,NoPowerListing
553,8865633,111946444,8865633-111946444,Antimatch,NoPowerListing
553,8865633,111946445,8865633-111946445,Antimatch,NoPowerListing
395,8865567,111946458,8865567-111946458,Antimatch,NoPowerListing
553,8865519,111946484,8865519-111946484,Antimatch,NoPowerListing
553,8865519,111946485,8865519-111946485,Antimatch,NoPowerListing
553,8865519,111946486,8865519-111946486,Antimatch,NoPowerListing
395,8865555,111946497,8865555-111946497,Antimatch,NoPowerListing
553,8865530,111946517,8865530-111946517,Antimatch,NoPowerListing
553,9049577,111946523,9049577-111946523,Antimatch,NoPowerListing
433,8865669,111946539,8865669-111946539,Antimatch,NoPowerListing
433,8865669,111946540,8865669-111946540,Antimatch,NoPowerListing
553,8865626,111946676,8865626-111946676,Antimatch,NoPowerListing
553,8865667,111946716,8865667-111946716,Antimatch,NoPowerListing
